,L - HOMO,L - LUMO,L - Q(L),"L2Ni - A(L,Ni,L)","L2Ni - BO(Ni,L)",L2Ni - Bur_V,L2Ni - HOMO,L2Ni - LUMO,L2Ni - Q(Ni),"L2Ni - R(Ni,L)","L2Ni - Sterimol_B1(Ni,P)","L2Ni - Sterimol_B5(Ni,P)","L2Ni - Sterimol_L(Ni,P)",L2Ni - dQ(L),"L2NiX - A(L,Ni,C)","L2NiX - A(L,Ni,L)","L2NiX - BO(Ni,L)",L2NiX - Bur_V,L2NiX - HOMO,L2NiX - LUMO,"L2NiX - R(Ni,C)","L2NiX - R(Ni,L)",L2NiX - SD(L),"L2NiX - Sterimol_B1(Ni,C)","L2NiX - Sterimol_B1(Ni,P)","L2NiX - Sterimol_B5(Ni,C)","L2NiX - Sterimol_B5(Ni,P)","L2NiX - Sterimol_L(Ni,C)","L2NiX - Sterimol_L(Ni,P)","L2NiX - dBO(Ni,C)",L2NiX - dQ(C),L2NiX - dQ(L),L2NiX - dQ(Ni),L2NiX - dSD(C),L2NiX - dSD(Ni),L2NiX TO L2Ni + X,L2NiX TO L2NiX2 + L2Ni,"L2NiX2 - A(C,Ni,C)","L2NiX2 - A(L,Ni,L)","L2NiX2 - BO(Ni,L)",L2NiX2 - Bur_V,L2NiX2 - HOMO,L2NiX2 - LUMO,"L2NiX2 - R(Ni,C)","L2NiX2 - R(Ni,L)","L2NiX2 - Sterimol_B1(Ni,P)","L2NiX2 - Sterimol_B5(Ni,P)","L2NiX2 - Sterimol_L(Ni,P)","L2NiX2 - dBO(Ni,C)",L2NiX2 - dQ(L),L2NiX2 - dQ(Ni),L2NiX2 TO L2Ni + X2
L - HOMO,1.0,0.22955477333571195,0.0007571617131335408,0.36309121955593243,0.028483703547574894,0.3209948325619565,0.653050242746661,0.3818426697427702,-0.6010614696785935,0.5089745298405419,0.02349883358561583,-0.0070354016855030755,-0.10994853018914723,0.6381563293150815,-0.2041530802251638,0.2628582162156014,-0.01289924543043146,0.3117238274068606,0.7089804816347837,0.4416242609390455,0.6095386591613555,0.36598410011215277,0.12172396624582889,0.0314095624441365,0.03210371141240617,-0.1740100507413156,0.029567125081778764,0.5873516680134551,-0.085800382380393,-0.22009431417893574,-0.07334902208605418,0.3539571651520488,-0.16566722196190717,-0.23293830086444797,0.10443223191299883,0.46744392343113894,0.5502312461995624,0.04805868719999109,0.13476916791990684,-0.37063905410293824,0.22613627023063443,0.6976837962589728,0.41076405963961876,0.1471523083014532,0.44631182081961085,0.014507118419801299,0.018560539627164547,-0.003947801650686316,-0.27436195496508037,0.16380932606621879,0.18046307892295732,0.10858088864303067
L - LUMO,0.22955477333571195,1.0,-0.014673249721636902,-0.05633405729962174,-0.1437539428989189,-0.15229216948486718,0.5544949462888958,0.943140489094707,-0.3659355419057338,0.4657582721810419,-0.1883644954018275,-0.4074308416998407,-0.29066457966535975,0.4990043034411958,0.11736627563925107,-0.09522369245381442,-0.049158185144967885,-0.17175367662511867,0.4965231531779157,0.9258973812581585,0.29739113047002863,0.38824541688068337,0.14887597940598968,-0.009066743991395803,-0.18993961298356948,-0.32841756599510497,-0.3647535090653045,0.4299244276700106,-0.41528280743517,0.04401949113742229,-0.17734528001439032,0.4298229163920429,-0.20521308932918536,-0.1868528275813733,0.25957564255279897,0.46060011987380944,0.24212170441673966,0.04914969274083159,-0.03802362263876974,-0.01883000530848785,-0.13072270096738986,0.4740632348677455,0.9226268333415852,0.02601415964954993,0.11878612807566657,-0.17880949010204292,-0.4187239833733191,-0.4652104670382063,0.1731132734379791,0.3894853209792103,-0.062458456398642066,0.37162314646127154
L - Q(L),0.0007571617131335408,-0.014673249721636902,1.0,-0.12335184884153867,0.6627918439036069,0.1598073082677669,-0.32861707122757416,-0.08399325393802923,-0.3026646604221832,-0.41250572934405705,0.14220157024698943,0.07962453986073462,0.18020082336090668,0.1985530640599507,0.06960513794186897,-0.06847556087500481,0.6633623204270834,0.159823863829443,-0.19502382025916928,-0.06929999537082895,-0.09405260946588748,-0.4120553345223627,-0.01739648275704491,0.14498664901938943,0.10099741053823605,0.11329198492778624,0.11647561514997676,-0.12414804460233085,0.24524651711939033,0.1519150615909777,0.05223478105035924,0.5571568169164469,-0.7248458705495632,0.029477852063998066,-0.3150953199978004,-0.14708310059232257,-0.21809273035945206,0.016553973447488223,-0.00548600710399584,0.5787338989636269,-0.008169880621735034,-0.27224038555732216,-0.04767364275985965,0.09510175493479536,-0.41750822304305557,-0.04930911562309808,0.10393175511193918,0.23828026645483844,0.35556933788968836,0.5917250850541909,-0.7627996570238509,0.005487245651088545
"L2Ni - A(L,Ni,L)",0.36309121955593243,-0.05633405729962174,-0.12335184884153867,1.0,-0.17002915346834624,0.5868331417870227,0.3709895430809311,-0.06298267080790941,-0.6191137205329224,0.5731556514761245,0.07742588864158535,0.27905437081738027,-0.054220288529958964,0.40126404245966657,-0.8370332749245449,0.8872297080227151,-0.2910445481552414,0.44854186878086694,0.35406082251807464,0.12376982399105883,0.5901821072458676,0.41299326560099797,-0.6192504932748814,-0.01909733272904321,0.03342717135132809,0.007713176103376497,0.3878898502516677,0.4063579299964998,-0.04083463565586323,-0.6905952668396502,0.4328140654454882,-0.27180352456846174,0.2962830788402675,0.3844953940728432,0.2879325894264617,-0.2722627365937535,0.2009137560534912,0.5468116226537706,0.7335749336403291,-0.4482351081458779,0.3426920346238554,0.4185115942992986,0.13896249321999724,0.5454674322509546,0.35067864322722003,0.03412774728203697,0.34914080905081774,-0.05941875395062606,-0.2927555779217328,-0.07631509707748585,0.3694850589537035,-0.52308752826409
"L2Ni - BO(Ni,L)",0.028483703547574894,-0.1437539428989189,0.6627918439036069,-0.17002915346834624,1.0,0.0986547413469349,-0.2222580463159419,-0.16482859666855418,-0.28628528266500186,-0.5074672739080883,0.13375259726935562,-0.00935796373974641,0.04416131481280521,0.12546142789346068,0.1521358263797472,-0.13959467870982387,0.7207608148441897,0.1505028535116723,-0.1345449046676386,-0.1786986936461748,-0.12834514330770028,-0.5473043443438067,0.2224083519211372,0.0060089373182963,0.04766353229546366,0.07902880214119938,-0.004962003119686322,-0.04660741988564494,0.15485261917092405,0.23933024751768084,0.007828047417444507,0.48614393979577974,-0.6738530507342191,-0.0916165861753571,-0.406315712848976,0.03377004453834591,-0.04736116590632428,-0.11726771473169116,-0.1199017905442195,0.48412461956699127,0.05589151578303642,-0.2414786108518721,-0.1521257088437052,-0.02637436475543908,-0.3030747683714109,-0.09261217988584246,0.0009968884668825192,0.17306746003680326,0.2022485920970256,0.37883565009819803,-0.5725122841849127,0.08467274310124703
L2Ni - Bur_V,0.3209948325619565,-0.15229216948486718,0.1598073082677669,0.5868331417870227,0.0986547413469349,1.0,0.1240937571590082,-0.1520558227596166,-0.34611570839450256,0.2620435358616782,0.6844917878592308,0.2778790038549362,0.25458389044853275,0.12810498011267799,-0.5765770009371433,0.6160239145849588,-0.20495777255488226,0.8960541966558973,0.198726725071412,-0.02523406345497623,0.4905899631757943,0.28817779801432697,-0.45216070852662665,0.017813876008368246,0.5847196691322989,0.06456950908926391,0.41400568303351915,0.18230570701793922,0.2840155769512302,-0.7796549592495311,0.3098674248064354,-0.2598410826900328,0.21824908590729397,0.30315099778850835,-0.08808654649173984,-0.2934640216685954,0.29779534337319624,0.38462867348223284,0.5050044884068846,-0.44287232590351694,0.8153180101857893,0.16178057567339446,-0.03158305023188228,0.5297423184343145,0.400087785354052,0.5317483386816201,0.3788262047282026,0.2840651379036787,-0.524039809337003,-0.17671660401392467,0.28515422158248754,-0.6354669697839439
L2Ni - HOMO,0.653050242746661,0.5544949462888958,-0.32861707122757416,0.3709895430809311,-0.2222580463159419,0.1240937571590082,1.0,0.6456689913216852,-0.5996428212475657,0.802077813218274,-0.14129717560016397,-0.18729816633289043,-0.25820006841385934,0.6636705845103915,-0.1802755492167492,0.23308049376200546,-0.24013264305793997,0.09605378451996414,0.909569484211985,0.6912639213386474,0.708404020550265,0.6200216644932096,0.12411276673216977,-0.015828299330840578,-0.11993045239315973,-0.32143236598031527,-0.14909541544354174,0.7574698704851173,-0.35323544896187603,-0.26227057101840384,-0.1342366342651501,0.2583112720120795,0.03632064213822705,-0.2416621838124244,0.3508159175041094,0.6432026212079782,0.6124632103892691,0.23453527952770464,0.22961069972682657,-0.45231247015135195,0.16263920701734755,0.9019585910372652,0.6701800070451922,0.24330238239047708,0.4487750781371198,-0.06027153364631964,-0.1836221975496157,-0.35952810376858324,-0.10912324113328195,0.21081946622217898,0.31533966259235097,0.2769853252379047
L2Ni - LUMO,0.3818426697427702,0.943140489094707,-0.08399325393802923,-0.06298267080790941,-0.16482859666855418,-0.1520558227596166,0.6456689913216852,1.0,-0.37903518292764693,0.542568334245594,-0.1850057196841871,-0.4370773215089563,-0.33682027695501787,0.5517187100712977,0.15213375773266186,-0.12400439180753645,-0.0955293356089243,-0.1624661485280099,0.5734061900507142,0.9710748853998561,0.35537763154007523,0.4680995978705057,0.22082530155023083,-0.0007882489533008456,-0.17316834830337807,-0.30412454356527113,-0.4123867691813067,0.48701370938719357,-0.4652827978757015,0.0620197148153882,-0.25277759560028357,0.45476191114215936,-0.18272912981310585,-0.272496160014668,0.3139658974160528,0.5515212715193792,0.32070812321186537,-0.0005964469920553534,-0.07766033206909945,-0.11101811718737817,-0.10826428521383039,0.5637792044712231,0.9429217707157804,-0.013093395904655825,0.21603495992405267,-0.1506299417880082,-0.45015080855801265,-0.48180195579858753,0.10584776794502256,0.3541054969283897,0.014862684617517491,0.4178232771681968
L2Ni - Q(Ni),-0.6010614696785935,-0.3659355419057338,-0.3026646604221832,-0.6191137205329224,-0.28628528266500186,-0.34611570839450256,-0.5996428212475657,-0.37903518292764693,1.0,-0.5015239531415178,0.09775013986037157,0.010404619600942043,0.2951020362611319,-0.8830424793725121,0.4057709508009157,-0.4749517309467228,-0.23855000168080376,-0.23031816777981567,-0.6026777426832829,-0.498728590674457,-0.5989906815652714,-0.24756371253032802,0.11783490684118889,-0.02809401339954241,0.19364158454555067,0.15354138307215523,-0.05911952261566758,-0.6394520083733631,0.20880739701092613,0.2519834597800534,-0.1156007796154964,-0.5115395668085417,0.4271929992167755,0.00513747159588843,-0.15045483523524605,-0.2434347509213006,-0.32631441149843415,-0.33632398144180103,-0.42226645241859273,0.03295179379249108,-0.0938118033569188,-0.5689104879328283,-0.5093202910768855,-0.3676021751861481,-0.14879269872730794,0.2877258168713484,-0.012382308753564438,0.21299097641707362,-0.0870002843391904,-0.5206745364428166,0.1607416138165731,-0.021475190065488186
"L2Ni - R(Ni,L)",0.5089745298405419,0.4657582721810419,-0.41250572934405705,0.5731556514761245,-0.5074672739080883,0.2620435358616782,0.802077813218274,0.542568334245594,-0.5015239531415178,1.0,-0.040300664245396835,-0.02343223901091883,-0.20431073908359212,0.6195081541143496,-0.3956508624203379,0.4437726481300825,-0.5058772751018284,0.14007341304025292,0.7304386413335056,0.6329873518491602,0.7069683127646798,0.8086674594305329,-0.19711285463421951,-0.026316465388878302,-0.031122922338927717,-0.21160278720745063,0.044013975490291346,0.6177153793619913,-0.29980375256463865,-0.44810899947620714,-0.01489583006786409,-0.0013640481795012243,0.30911021625868834,-0.03944484151472594,0.5274001716270821,0.28397571389662174,0.42960434537164083,0.3349007104582964,0.39249973067192023,-0.6013315042795504,0.18653506924287003,0.814122266394112,0.6140508459091707,0.30259206692887475,0.5366466394486616,0.026014431609511755,0.0006820495600789239,-0.3113710917524512,-0.25282734926047684,0.032038056495997815,0.49528261690253356,-0.018116626866701135
"L2Ni - Sterimol_B1(Ni,P)",0.02349883358561583,-0.1883644954018275,0.14220157024698943,0.07742588864158535,0.13375259726935562,0.6844917878592308,-0.14129717560016397,-0.1850057196841871,0.09775013986037157,-0.040300664245396835,1.0,0.1946809800284215,0.48605157544282407,-0.2073410805304631,-0.19997573663172585,0.1841655948174889,-0.13583336651972278,0.6564135366884808,-0.04815630615507862,-0.14996726043605854,0.10482014789247937,0.058806843364161566,-0.21072852655246094,0.08882039776132743,0.7862589796505829,0.06804965153264227,0.33493203477224903,-0.13843562653379446,0.4477683887835579,-0.4339559992585638,0.1543050718246417,-0.24970001820740292,0.2056533542377823,0.17274474895897954,-0.23203246838525404,-0.22357083631880825,0.09267471798453154,0.1088845631217407,0.1511663173808495,-0.2524786209260472,0.6006470074762179,-0.08858728200246155,-0.1310797544797664,0.193043508709468,0.21501781775489406,0.8230687129308061,0.3058797885447731,0.4201085097500664,-0.42764010769452193,-0.2567166574507682,0.18804388363125238,-0.3657663805046053
"L2Ni - Sterimol_B5(Ni,P)",-0.0070354016855030755,-0.4074308416998407,0.07962453986073462,0.27905437081738027,-0.00935796373974641,0.2778790038549362,-0.18729816633289043,-0.4370773215089563,0.010404619600942043,-0.02343223901091883,0.1946809800284215,1.0,0.4425200553429151,-0.07019518033866656,-0.2466802705063431,0.2329262676881042,-0.19353546270822108,0.22207248979842173,-0.055886914489911,-0.33179567830876544,0.026658234415675275,0.07383890235042112,-0.2067556067991628,-0.003801636597769229,0.23048104060971134,0.0019201220524252048,0.9102221723714236,-0.14857870285302932,0.4779267916449787,-0.24521633280514923,0.14207004173507556,-0.2401850199025345,0.22246695704774905,0.09607717381254365,-0.012939854393123127,-0.25617765668952064,-0.02994407471766949,0.09144547879850835,0.17273675378524578,-0.18605883574088453,0.17855441804372277,0.015382081018624667,-0.37872300276535503,0.05659427773737425,0.12015195082384139,0.21997002039023372,0.9191450072990773,0.5475222589504064,-0.21353083730535105,-0.22678488205104788,0.16026649725018846,-0.29904769322064695
"L2Ni - Sterimol_L(Ni,P)",-0.10994853018914723,-0.29066457966535975,0.18020082336090668,-0.054220288529958964,0.04416131481280521,0.25458389044853275,-0.25820006841385934,-0.33682027695501787,0.2951020362611319,-0.20431073908359212,0.48605157544282407,0.4425200553429151,1.0,-0.34775736641243377,-0.13525136674853486,0.08235875464927615,-0.036663010682855136,0.41413045881759275,-0.17913309021121285,-0.29753230369248124,-0.023449289410971415,-0.09711998979891888,-0.23726036369793532,0.023016391641116716,0.6577798188266184,0.06280876217561537,0.5152089867215864,-0.239147606265301,0.6408190525075246,-0.19476588420266838,0.19549660970252822,-0.28740304923553706,0.17428065139243948,0.1761794423839992,-0.14096050337202734,-0.21071512453449334,-0.09208283803299826,0.10307114996162318,0.08965409723560096,-0.05269898879988433,0.35782173052873595,-0.1715558947814292,-0.2730385914814011,0.11926533591879937,-0.06480910233452575,0.6166585461071504,0.49364817018388246,0.655598730277201,-0.15178768428338882,-0.12801907301782914,-0.013136953229050593,-0.18648732969245335
L2Ni - dQ(L),0.6381563293150815,0.4990043034411958,0.1985530640599507,0.40126404245966657,0.12546142789346068,0.12810498011267799,0.6636705845103915,0.5517187100712977,-0.8830424793725121,0.6195081541143496,-0.2073410805304631,-0.07019518033866656,-0.34775736641243377,1.0,-0.16136592952948248,0.2294896963730357,0.1921828380973684,0.023774812930732282,0.668874729964427,0.6266642684163715,0.5637742593114337,0.3384045265809374,0.09685448818758151,0.013746857239026964,-0.2514885682718793,-0.23790289790948554,-0.05018770334644502,0.640883747246887,-0.29877144815442447,-0.037529999867963584,-0.10623674771684312,0.6743803429433254,-0.45218342504448283,-0.23929021968902658,0.2569279705242986,0.4496388917335665,0.32718273104575707,0.15986093259283607,0.20419914067627273,-0.04111165205305872,-0.06417278897554683,0.6785813187370983,0.6204766616492264,0.14122474324176032,0.18430693105366988,-0.31653564960874575,-0.0835345040794906,-0.278080543393121,0.1256735542382727,0.5665965404876544,-0.14128299630242697,0.2826781526888377
"L2NiX - A(L,Ni,C)",-0.2041530802251638,0.11736627563925107,0.06960513794186897,-0.8370332749245449,0.1521358263797472,-0.5765770009371433,-0.1802755492167492,0.15213375773266186,0.4057709508009157,-0.3956508624203379,-0.19997573663172585,-0.2466802705063431,-0.13525136674853486,-0.16136592952948248,1.0,-0.9790974106558914,0.2545448741934642,-0.46081987818899006,-0.2719985019315994,-0.0011062078097283303,-0.5256958958355352,-0.24032223302168473,0.8578746895503659,-0.02856116358093752,-0.10617592949987277,-0.03954929848989827,-0.4226818977339728,-0.31890674194343444,-0.18497459720863285,0.790800981817461,-0.7583779349861851,0.44291418169833,-0.3641981806164246,-0.7416952052491632,-0.1850756377043621,0.481486082045156,-0.005325697436064263,-0.5706954748995796,-0.7328825410557525,0.3710637633085112,-0.34353167961789877,-0.2523443146427047,-0.04231421486728658,-0.6067774191615951,-0.21841103195797923,-0.11139727899409346,-0.36630496485225966,-0.12369000038467129,0.25457556378148166,0.10710478606489657,-0.30296184328924175,0.6163933394964148
"L2NiX - A(L,Ni,L)",0.2628582162156014,-0.09522369245381442,-0.06847556087500481,0.8872297080227151,-0.13959467870982387,0.6160239145849588,0.23308049376200546,-0.12400439180753645,-0.4749517309467228,0.4437726481300825,0.1841655948174889,0.2329262676881042,0.08235875464927615,0.2294896963730357,-0.9790974106558914,1.0,-0.25512926818259085,0.4975058312976,0.31250690655619967,0.03371945222590495,0.5510899177073096,0.289075022850796,-0.8167584781061127,0.034823428869173466,0.094036935754564,0.04247941372093712,0.3951383526405036,0.37089344379409567,0.12876857285208826,-0.8023977139036609,0.7086149295695668,-0.39891357168471037,0.3302910545876499,0.68731420633436,0.17537102962510423,-0.4465353269575278,0.07465043511335037,0.5849796909854963,0.7569395547011413,-0.3937989174811567,0.36890560976139164,0.297604061694423,0.07550907181942285,0.6401845115022589,0.253962562442962,0.09111718500410068,0.34243376004927906,0.07011243888511576,-0.2745889832637342,-0.08275490746209797,0.31266781014288453,-0.6331315811413797
