,L - HOMO,L - LUMO,L - Q(L),"L2Ni - A(L,Ni,L)","L2Ni - BO(Ni,L)",L2Ni - Bur_V,L2Ni - HOMO,L2Ni - LUMO,L2Ni - Q(Ni),"L2Ni - R(Ni,L)","L2Ni - Sterimol_B1(Ni,P)","L2Ni - Sterimol_B5(Ni,P)","L2Ni - Sterimol_L(Ni,P)",L2Ni - dQ(L),"L2NiX - A(L,Ni,C)","L2NiX - A(L,Ni,L)","L2NiX - BO(Ni,L)",L2NiX - Bur_V,L2NiX - HOMO,L2NiX - LUMO,"L2NiX - R(Ni,C)","L2NiX - R(Ni,L)",L2NiX - SD(L),"L2NiX - Sterimol_B1(Ni,C)","L2NiX - Sterimol_B1(Ni,P)","L2NiX - Sterimol_B5(Ni,C)","L2NiX - Sterimol_B5(Ni,P)","L2NiX - Sterimol_L(Ni,C)","L2NiX - Sterimol_L(Ni,P)","L2NiX - dBO(Ni,C)",L2NiX - dQ(C),L2NiX - dQ(L),L2NiX - dQ(Ni),L2NiX - dSD(C),L2NiX - dSD(Ni),L2NiX TO L2Ni + X,L2NiX TO L2NiX2 + L2Ni,"L2NiX2 - A(C,Ni,C)","L2NiX2 - A(L,Ni,L)","L2NiX2 - BO(Ni,L)",L2NiX2 - Bur_V,L2NiX2 - HOMO,L2NiX2 - LUMO,"L2NiX2 - R(Ni,C)","L2NiX2 - R(Ni,L)","L2NiX2 - Sterimol_B1(Ni,P)","L2NiX2 - Sterimol_B5(Ni,P)","L2NiX2 - Sterimol_L(Ni,P)","L2NiX2 - dBO(Ni,C)",L2NiX2 - dQ(L),L2NiX2 - dQ(Ni),L2NiX2 TO L2Ni + X2
"L2NiX - BO(Ni,L)",-0.01289924543043146,-0.049158185144967885,0.6633623204270834,-0.2910445481552414,0.7207608148441897,-0.20495777255488226,-0.24013264305793997,-0.0955293356089243,-0.23855000168080376,-0.5058772751018284,-0.13583336651972278,-0.19353546270822108,-0.036663010682855136,0.1921828380973684,0.2545448741934642,-0.25512926818259085,1.0,-0.09087233924373124,-0.14866481668509457,-0.14296082567377955,-0.271430473926733,-0.7762083444924816,0.3145638536123164,-0.0008036160269885991,-0.20652145850869696,0.04816676074767241,-0.17173950646705008,-0.0928083716908648,0.11260321651452615,0.4845494841178594,0.055498480545532365,0.6663202401156298,-0.8701671478234551,-0.10497609791665781,-0.4968675872547164,0.1050447883087058,-0.1930633931496478,-0.1833136817506683,-0.22725790482513938,0.6897818038206738,-0.2332650357906841,-0.28127489512938914,-0.09622947682166358,-0.14952989686394094,-0.49812876422959756,-0.3260422921254641,-0.16329695638361955,0.09866493832195847,0.43502322617612427,0.5717324117410267,-0.7546763509753311,0.30372452279019624
L2NiX - Bur_V,0.3117238274068606,-0.17175367662511867,0.159823863829443,0.44854186878086694,0.1505028535116723,0.8960541966558973,0.09605378451996414,-0.1624661485280099,-0.23031816777981567,0.14007341304025292,0.6564135366884808,0.22207248979842173,0.41413045881759275,0.023774812930732282,-0.46081987818899006,0.4975058312976,-0.09087233924373124,1.0,0.14808403763378425,-0.05780231962226746,0.40612119446362244,0.162688718834573,-0.3302903221982534,0.06399639316800074,0.6823158079088077,0.030475177926501517,0.32236422316875196,0.1344374711619501,0.28691202524975584,-0.6971431128455337,0.2621033582878652,-0.23725464361985685,0.1496857728040078,0.221660251327638,-0.2421302489016507,-0.18411291631132654,0.3915578679110085,0.2920016926865621,0.3895065145328856,-0.4174487413948187,0.8780598496743841,0.1001768859910674,-0.06725878492345594,0.4498795437900978,0.38497782942540715,0.5909761224770133,0.30426032130602415,0.30952420698448657,-0.5429931617615555,-0.18679592279630505,0.24771269326230305,-0.5792373462548346
L2NiX - HOMO,0.7089804816347837,0.4965231531779157,-0.19502382025916928,0.35406082251807464,-0.1345449046676386,0.198726725071412,0.909569484211985,0.5734061900507142,-0.6026777426832829,0.7304386413335056,-0.04815630615507862,-0.055886914489911,-0.17913309021121285,0.668874729964427,-0.2719985019315994,0.31250690655619967,-0.14866481668509457,0.14808403763378425,1.0,0.6134504847140401,0.700051999264052,0.5102112451572082,0.05862448742066593,0.051757378378690946,-0.10498214420173319,-0.34145648017529756,0.004571513370783916,0.7411256482062054,-0.14007443098488237,-0.3525673165418013,0.06431344660828615,0.2981754474630981,-0.03775704164875265,-0.07391640586941121,0.18613360013955701,0.5748195841792276,0.5723390699374152,0.17215418017922193,0.1881754138656561,-0.42371301368980996,0.15645005258177933,0.9006434800794562,0.5923396691169983,0.2340190660247555,0.4481945044163508,-0.02185256665868921,-0.037211140953397795,-0.16917189054228968,-0.14103553562380217,0.22730011575910417,0.26371071563237464,0.22549662172956073
L2NiX - LUMO,0.4416242609390455,0.9258973812581585,-0.06929999537082895,0.12376982399105883,-0.1786986936461748,-0.02523406345497623,0.6912639213386474,0.9710748853998561,-0.498728590674457,0.6329873518491602,-0.14996726043605854,-0.33179567830876544,-0.29753230369248124,0.6266642684163715,-0.0011062078097283303,0.03371945222590495,-0.14296082567377955,-0.05780231962226746,0.6134504847140401,1.0,0.4432786574783017,0.5365525638993884,0.10305062030254743,-0.012285229669441478,-0.13179849650949269,-0.3194244724621286,-0.2857626764132138,0.525877386086034,-0.43935132893073636,-0.0628762922813454,-0.17825574831254487,0.4130282608078888,-0.13825812922911518,-0.2147345199340295,0.34646232725746196,0.4984391826807083,0.35123242754462336,0.1203833407291004,0.07589280673281605,-0.17193330913217977,-0.029139861951918263,0.6263465744844975,0.9687709843045259,0.09464256229038856,0.2589623137666331,-0.12318056335139627,-0.3345372079137612,-0.459954810487679,0.06161518999904187,0.3594872880767795,0.05424809157042016,0.3234651049475476
"L2NiX - R(Ni,C)",0.6095386591613555,0.29739113047002863,-0.09405260946588748,0.5901821072458676,-0.12834514330770028,0.4905899631757943,0.708404020550265,0.35537763154007523,-0.5989906815652714,0.7069683127646798,0.10482014789247937,0.026658234415675275,-0.023449289410971415,0.5637742593114337,-0.5256958958355352,0.5510899177073096,-0.271430473926733,0.40612119446362244,0.700051999264052,0.4432786574783017,1.0,0.643698218812803,-0.32201972487317854,-0.035821652461213806,0.11743380469081417,-0.11351673114682274,0.1435504303360001,0.7671864025065177,-0.09324645002429154,-0.5942932398124051,0.08390882685815955,0.025253574464526668,0.16894108790223875,0.07488989161386875,0.4762472828584129,0.14594894791540558,0.4223713706498632,0.35915165863271487,0.43622365164658833,-0.5575705046027857,0.37578219825305836,0.7311736729785352,0.4186821262471986,0.42661023382540425,0.5176266586810055,0.12986367931433843,0.09574136468579118,-0.05450174296243055,-0.30854760461391617,0.06098698121223042,0.3776922553476616,-0.18709142598047132
"L2NiX - R(Ni,L)",0.36598410011215277,0.38824541688068337,-0.4120553345223627,0.41299326560099797,-0.5473043443438067,0.28817779801432697,0.6200216644932096,0.4680995978705057,-0.24756371253032802,0.8086674594305329,0.058806843364161566,0.07383890235042112,-0.09711998979891888,0.3384045265809374,-0.24032223302168473,0.289075022850796,-0.7762083444924816,0.162688718834573,0.5102112451572082,0.5365525638993884,0.643698218812803,1.0,-0.1879051774455582,-0.03297516063690445,0.14547418450130697,-0.1233272630859885,0.08555550993010781,0.4520626020766361,-0.2508967988848365,-0.4723426010631575,-0.2479583265807143,-0.2008907694672086,0.5150919534510603,-0.12604009295863108,0.6488060827183099,0.18987211311870172,0.4146744718146838,0.2640320729705452,0.3002498049651532,-0.6729190198142344,0.2522463814101765,0.6428015843501911,0.48654039199248594,0.2624987827185909,0.5793181366676808,0.20323347418088458,0.04742957311820414,-0.22541177731304302,-0.3441475392468861,-0.17140072180219493,0.5869716717092937,-0.12450166710916169
L2NiX - SD(L),0.12172396624582889,0.14887597940598968,-0.01739648275704491,-0.6192504932748814,0.2224083519211372,-0.45216070852662665,0.12411276673216977,0.22082530155023083,0.11783490684118889,-0.19711285463421951,-0.21072852655246094,-0.2067556067991628,-0.23726036369793532,0.09685448818758151,0.8578746895503659,-0.8167584781061127,0.3145638536123164,-0.3302903221982534,0.05862448742066593,0.10305062030254743,-0.32201972487317854,-0.1879051774455582,1.0,-0.07207230095453325,-0.15669142463949262,-0.0986108332154586,-0.3786414920695906,-0.09879175499122454,-0.24069350409727056,0.6915215560632233,-0.7440828907506868,0.5668581327972155,-0.4483289413703771,-0.8462912559996478,-0.2630682696687351,0.7177124333594096,0.3228001929799077,-0.548134895015392,-0.6533850118381168,0.18899281116773528,-0.25148619780245396,0.05117601145716055,0.05401695611753772,-0.5491366567228612,-0.006259686611703787,-0.15446333868323817,-0.32560106726193716,-0.17963845473065435,0.10576213659262405,0.11476824055860609,-0.17834314137483392,0.6271131009629246
"L2NiX - Sterimol_B1(Ni,C)",0.0314095624441365,-0.009066743991395803,0.14498664901938943,-0.01909733272904321,0.0060089373182963,0.017813876008368246,-0.015828299330840578,-0.0007882489533008456,-0.02809401339954241,-0.026316465388878302,0.08882039776132743,-0.003801636597769229,0.023016391641116716,0.013746857239026964,-0.02856116358093752,0.034823428869173466,-0.0008036160269885991,0.06399639316800074,0.051757378378690946,-0.012285229669441478,-0.035821652461213806,-0.03297516063690445,-0.07207230095453325,1.0,-0.08760335013991391,-0.07680856999726704,-0.009992409622926586,0.04667106187888906,0.041156348254498945,-0.07784625442754127,0.09144177458668157,0.06741920331302158,-0.06177743089300477,0.13883582714706,-0.09121271126416246,-0.009985882622507089,0.021068440297950485,0.04630279463178494,0.026413469386422868,0.10018286630132266,0.06340623415277222,-0.05860254570269704,-0.03049512066399338,0.08537354373078054,-0.0845104636457244,0.0009980839247441683,-0.012005262495460288,0.02359549543445009,0.11068319750223214,0.13022734309616746,-0.12796620324187502,-0.03126769292371312
"L2NiX - Sterimol_B1(Ni,P)",0.03210371141240617,-0.18993961298356948,0.10099741053823605,0.03342717135132809,0.04766353229546366,0.5847196691322989,-0.11993045239315973,-0.17316834830337807,0.19364158454555067,-0.031122922338927717,0.7862589796505829,0.23048104060971134,0.6577798188266184,-0.2514885682718793,-0.10617592949987277,0.094036935754564,-0.20652145850869696,0.6823158079088077,-0.10498214420173319,-0.13179849650949269,0.11743380469081417,0.14547418450130697,-0.15669142463949262,-0.08760335013991391,1.0,0.11082865438719434,0.2811467493774054,-0.19062726802886448,0.3209361470315202,-0.3795405229647061,-0.016419263187196664,-0.3075477990520748,0.2747836404958832,0.0003022311774178031,-0.11000399354114168,-0.135217834346611,0.174117593235632,0.1180721320767162,0.1443150585168598,-0.3074625067627696,0.613187769128509,-0.0637057368420247,-0.13971685178589313,0.17459555017363085,0.20987470662372645,0.8829025265123543,0.27367831994349245,0.3829332125212103,-0.4261057790211977,-0.2775949842669907,0.22112411784438915,-0.32534816333059113
"L2NiX - Sterimol_B5(Ni,C)",-0.1740100507413156,-0.32841756599510497,0.11329198492778624,0.007713176103376497,0.07902880214119938,0.06456950908926391,-0.32143236598031527,-0.30412454356527113,0.15354138307215523,-0.21160278720745063,0.06804965153264227,0.0019201220524252048,0.06280876217561537,-0.23790289790948554,-0.03954929848989827,0.04247941372093712,0.04816676074767241,0.030475177926501517,-0.34145648017529756,-0.3194244724621286,-0.11351673114682274,-0.1233272630859885,-0.0986108332154586,-0.07680856999726704,0.11082865438719434,1.0,0.04406381629130617,-0.2828637837993765,0.15332283231244995,0.04152805429888925,0.019788402962921028,-0.17056877090278333,0.0716149116542083,0.13024763180242255,0.15543181071513726,-0.3842366806275062,-0.24589609767740966,-0.09659368804664938,-0.027057660599802576,0.02841134932332964,-0.009355010287350848,-0.2966609040937662,-0.31078452286803604,0.02738769311343303,-0.048589643326372514,0.06168172663939697,0.0615825118398599,0.172129783027342,-0.1291211263092726,-0.15641233048097627,-0.019159658111369805,-0.27127960582950555
"L2NiX - Sterimol_B5(Ni,P)",0.029567125081778764,-0.3647535090653045,0.11647561514997676,0.3878898502516677,-0.004962003119686322,0.41400568303351915,-0.14909541544354174,-0.4123867691813067,-0.05911952261566758,0.044013975490291346,0.33493203477224903,0.9102221723714236,0.5152089867215864,-0.05018770334644502,-0.4226818977339728,0.3951383526405036,-0.17173950646705008,0.32236422316875196,0.004571513370783916,-0.2857626764132138,0.1435504303360001,0.08555550993010781,-0.3786414920695906,-0.009992409622926586,0.2811467493774054,0.04406381629130617,1.0,-0.08359764071721872,0.63807816250248,-0.3756273620136896,0.30119083681991593,-0.28739871745689227,0.24846469663333337,0.25948565356452596,0.003966382824775386,-0.3353119799287053,-0.054570205388205006,0.1817064392374709,0.2850768693084605,-0.22260449546407987,0.25587057772381866,0.054366078767716666,-0.3054405514210003,0.1698958042701479,0.14713787308038334,0.2969502740970621,0.9511301582199904,0.6451506390439934,-0.2522689628062926,-0.2074392029642155,0.17248398349128527,-0.37786364956680063
"L2NiX - Sterimol_L(Ni,C)",0.5873516680134551,0.4299244276700106,-0.12414804460233085,0.4063579299964998,-0.04660741988564494,0.18230570701793922,0.7574698704851173,0.48701370938719357,-0.6394520083733631,0.6177153793619913,-0.13843562653379446,-0.14857870285302932,-0.239147606265301,0.640883747246887,-0.31890674194343444,0.37089344379409567,-0.0928083716908648,0.1344374711619501,0.7411256482062054,0.525877386086034,0.7671864025065177,0.4520626020766361,-0.09879175499122454,0.04667106187888906,-0.19062726802886448,-0.2828637837993765,-0.08359764071721872,1.0,-0.26368858252216926,-0.30538355482974444,0.1122692724496234,0.23984351754739874,-0.07945245084947643,0.029341195263934437,0.32479116849017975,0.351377084506578,0.4736795125567618,0.2663662141700388,0.2869237233240823,-0.32781457419184284,0.11776582402332136,0.692376596133896,0.4974519591260747,0.3409838012327432,0.3477906115125437,-0.14317002575616353,-0.10826572055190493,-0.22054465900742734,-0.0692236358127723,0.2524689613023388,0.1707584265318411,0.028640330569827937
"L2NiX - Sterimol_L(Ni,P)",-0.085800382380393,-0.41528280743517,0.24524651711939033,-0.04083463565586323,0.15485261917092405,0.2840155769512302,-0.35323544896187603,-0.4652827978757015,0.20880739701092613,-0.29980375256463865,0.4477683887835579,0.4779267916449787,0.6408190525075246,-0.29877144815442447,-0.18497459720863285,0.12876857285208826,0.11260321651452615,0.28691202524975584,-0.14007443098488237,-0.43935132893073636,-0.09324645002429154,-0.2508967988848365,-0.24069350409727056,0.041156348254498945,0.3209361470315202,0.15332283231244995,0.63807816250248,-0.26368858252216926,1.0,-0.17802621947333433,0.32178708206747286,-0.20399794929947107,0.07593507803536576,0.31783277043388364,-0.23769083280349124,-0.3124612562485787,-0.22892454019886505,-0.01642439663704215,0.0025696617968568717,0.06257290002515674,0.2156917189742251,-0.24300028229405685,-0.43274935657954283,0.037387714625081725,-0.08720843249946492,0.3414832716419733,0.5784386401461619,0.8581698403639458,-0.12159458590034872,-0.1171058804445752,-0.0711927932320073,-0.1950617036084264
"L2NiX - dBO(Ni,C)",-0.22009431417893574,0.04401949113742229,0.1519150615909777,-0.6905952668396502,0.23933024751768084,-0.7796549592495311,-0.26227057101840384,0.0620197148153882,0.2519834597800534,-0.44810899947620714,-0.4339559992585638,-0.24521633280514923,-0.19476588420266838,-0.037529999867963584,0.790800981817461,-0.8023977139036609,0.4845494841178594,-0.6971431128455337,-0.3525673165418013,-0.0628762922813454,-0.5942932398124051,-0.4723426010631575,0.6915215560632233,-0.07784625442754127,-0.3795405229647061,0.04152805429888925,-0.3756273620136896,-0.30538355482974444,-0.17802621947333433,1.0,-0.5242018174254485,0.5170794478310691,-0.5191523444775811,-0.5917003436897952,-0.06681509937372605,0.33827098700503644,-0.2978251322480417,-0.5035194046575091,-0.61569471807746,0.6093747667742913,-0.6499109258393565,-0.28204627025207935,-0.050709277874054715,-0.613307424093108,-0.4597400764397428,-0.3887185070639402,-0.33823135578007574,-0.13956232676884225,0.47657717467815813,0.2838450665669144,-0.5078768148259514,0.6924175396312872
L2NiX - dQ(C),-0.07334902208605418,-0.17734528001439032,0.05223478105035924,0.4328140654454882,0.007828047417444507,0.3098674248064354,-0.1342366342651501,-0.25277759560028357,-0.1156007796154964,-0.01489583006786409,0.1543050718246417,0.14207004173507556,0.19549660970252822,-0.10623674771684312,-0.7583779349861851,0.7086149295695668,0.055498480545532365,0.2621033582878652,0.06431344660828615,-0.17825574831254487,0.08390882685815955,-0.2479583265807143,-0.7440828907506868,0.09144177458668157,-0.016419263187196664,0.019788402962921028,0.30119083681991593,0.1122692724496234,0.32178708206747286,-0.5242018174254485,1.0,-0.36182704941494453,0.14661397457110115,0.903994270181095,-0.17636319244805482,-0.5316882619569284,-0.2425166434756384,0.35050419244309927,0.4370499593664227,-0.006480601197495939,0.16262526032261998,-0.10219028230045887,-0.11578204391352438,0.4307647068353524,-0.09484916929352893,0.01791488519166057,0.28213916533067745,0.2404173499934834,-0.03201236199441664,-0.020271361149912542,0.0006496307563153674,-0.46158763156361543
L2NiX - dQ(L),0.3539571651520488,0.4298229163920429,0.5571568169164469,-0.27180352456846174,0.48614393979577974,-0.2598410826900328,0.2583112720120795,0.45476191114215936,-0.5115395668085417,-0.0013640481795012243,-0.24970001820740292,-0.2401850199025345,-0.28740304923553706,0.6743803429433254,0.44291418169833,-0.39891357168471037,0.6663202401156298,-0.23725464361985685,0.2981754474630981,0.4130282608078888,0.025253574464526668,-0.2008907694672086,0.5668581327972155,0.06741920331302158,-0.3075477990520748,-0.17056877090278333,-0.28739871745689227,0.23984351754739874,-0.20399794929947107,0.5170794478310691,-0.36182704941494453,1.0,-0.8879316577451609,-0.5032725177657824,-0.14887942140973232,0.5805354816352137,0.13644611767290876,-0.22914129664408944,-0.3017716150335731,0.46365690618339217,-0.30539411200964056,0.23364521353572815,0.4101534090344148,-0.2198176956063313,-0.207110531007342,-0.37973540046291665,-0.2827655159426939,-0.1879084176554425,0.42078505876701094,0.7422301688986762,-0.6208742852533425,0.6171935854729556
L2NiX - dQ(Ni),-0.16566722196190717,-0.20521308932918536,-0.7248458705495632,0.2962830788402675,-0.6738530507342191,0.21824908590729397,0.03632064213822705,-0.18272912981310585,0.4271929992167755,0.30911021625868834,0.2056533542377823,0.22246695704774905,0.17428065139243948,-0.45218342504448283,-0.3641981806164246,0.3302910545876499,-0.8701671478234551,0.1496857728040078,-0.03775704164875265,-0.13825812922911518,0.16894108790223875,0.5150919534510603,-0.4483289413703771,-0.06177743089300477,0.2747836404958832,0.0716149116542083,0.24846469663333337,-0.07945245084947643,0.07593507803536576,-0.5191523444775811,0.14661397457110115,-0.8879316577451609,1.0,0.287096051699526,0.4006774150340026,-0.3205445756448785,0.014377267071092402,0.19741724355652185,0.2619658033949698,-0.6641833609638229,0.2920757177811284,0.08167497766314473,-0.1609919149238882,0.1364058300966534,0.4136765548271376,0.40415139627982133,0.2443173506943665,0.07435029402484214,-0.49403866298370464,-0.7282941523888851,0.8069657628186779,-0.4199107800489341
L2NiX - dSD(C),-0.23293830086444797,-0.1868528275813733,0.029477852063998066,0.3844953940728432,-0.0916165861753571,0.30315099778850835,-0.2416621838124244,-0.272496160014668,0.00513747159588843,-0.03944484151472594,0.17274474895897954,0.09607717381254365,0.1761794423839992,-0.23929021968902658,-0.7416952052491632,0.68731420633436,-0.10497609791665781,0.221660251327638,-0.07391640586941121,-0.2147345199340295,0.07488989161386875,-0.12604009295863108,-0.8462912559996478,0.13883582714706,0.0003022311774178031,0.13024763180242255,0.25948565356452596,0.029341195263934437,0.31783277043388364,-0.5917003436897952,0.903994270181095,-0.5032725177657824,0.287096051699526,1.0,-0.0703162988667822,-0.6696976714424986,-0.31860917393203003,0.36334870415508086,0.43442631626080047,-0.027321066244542915,0.14816975998656332,-0.2242454911818641,-0.15816281645373895,0.4425764130478478,-0.10044263768844248,0.028906455255193888,0.22989335828008828,0.22147251588126907,-0.02751738828538263,-0.10463828433271051,0.04817594639362455,-0.5698097736592154
